frame,label
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,1
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,1
191,1
192,0
193,1
194,0
195,1
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,1
223,0
224,0
225,1
226,1
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,1
243,1
244,1
245,1
246,1
247,0
248,1
249,1
250,1
251,0
252,0
253,0
254,1
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,1
273,1
274,1
275,0
276,1
277,1
278,0
279,0
280,1
281,1
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,1
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,1
317,1
318,1
319,0
320,1
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,0
329,1
330,0
331,0
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,2
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,1
368,1
369,3
370,3
371,0
372,4
373,2
374,0
375,0
376,0
377,3
378,1
379,1
380,0
381,1
382,1
383,0
384,1
385,0
386,0
387,0
388,2
389,0
390,0
391,1
392,1
393,3
394,3
395,3
396,1
397,0
398,0
399,0
400,3
401,2
402,3
403,2
404,0
405,1
406,3
407,3
408,3
409,0
410,1
411,3
412,3
413,2
414,2
415,2
416,3
417,3
418,1
419,1
420,0
421,4
422,0
423,0
424,3
425,3
426,3
427,0
428,3
429,4
430,3
431,0
432,3
433,4
434,0
435,4
436,1
437,4
438,4
439,1
440,1
441,4
442,2
443,4
444,4
445,4
446,0
447,4
448,1
449,3
450,4
451,1
452,3
453,0
454,3
455,0
456,4
457,0
458,2
459,0
460,4
461,4
462,4
463,2
464,0
465,0
466,1
467,4
468,0
469,0
470,1
471,1
472,1
473,4
474,4
475,0
476,0
477,1
478,0
479,2
480,0
481,4
482,0
483,3
484,0
485,0
486,0
487,0
488,4
489,0
490,0
491,0
492,4
493,0
494,0
495,0
496,0
497,0
498,4
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,4
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,1
519,3
520,3
521,1
522,0
523,4
524,4
525,4
526,0
527,4
528,0
529,0
530,0
531,0
532,0
