# Cluster Index, Number of frames, Fraction out of total pixels
0,1844,0.3072821196467255
1,1225,0.20413264455924013
2,1012,0.16863856023996002
3,693,0.1154807532077987
4,645,0.10748208631894685
5,582,0.09698383602732878
