#eQual Cluster Screening Summary
#threshold,Calinski-Harabasz,Davies-Bouldin
5.0,399.1657783129749,2.128757374505197
5.1,356.9579481608774,2.0507663515069496
5.199999999999999,402.82954500167983,2.1821777332867134
5.299999999999999,348.6295537465587,2.130201774235389
5.399999999999999,360.75292485429844,2.1380280664742335
5.499999999999998,409.9281124679419,2.157894570765365
5.599999999999998,395.95839371925535,2.0489669734988194
5.6999999999999975,412.57220922210604,2.1696699581475567
5.799999999999997,390.66896077917073,1.9692348651413532
5.899999999999997,334.8976950684303,2.1202601143996245
