Frame Index,Cluster Index
742,0
741,0
706,0
729,0
739,0
750,0
709,0
928,0
743,0
704,0
730,0
667,1
660,1
3267,1
429,1
552,1
3333,1
3337,1
3265,1
3327,1
3311,1
3334,1
1341,2
1342,2
1340,2
1339,2
1338,2
1344,2
1349,2
1337,2
1054,2
1056,2
4754,2
328,3
2895,3
1958,3
3036,3
564,3
561,3
2989,3
45,3
2893,3
68,3
1030,3
4188,4
4291,4
4257,4
4228,4
4207,4
4249,4
4246,4
4247,4
4359,4
4358,4
1032,4
3097,5
3098,5
3102,5
3113,5
3104,5
3103,5
3080,5
3819,5
3968,5
3947,5
3964,5
