level,cluster_index,population,msd
21,21,146,4.29532
22,0,452,2.23997
22,1,154,1.00793
22,2,516,1.88518
22,3,305,4.65735
22,4,343,4.41255
22,5,295,3.31900
22,6,277,3.45861
22,7,355,4.02425
22,8,210,0.65449
22,9,296,3.72971
22,10,216,3.69111
22,11,198,1.84643
22,12,345,3.52202
22,13,170,3.85149
22,14,226,4.03282
22,15,284,3.29361
22,16,205,2.65762
22,17,286,3.81457
22,18,157,2.90641
22,19,189,3.28926
22,20,146,4.29532
22,21,209,3.53977
22,22,167,3.60443
23,0,452,2.23997
23,1,154,1.00793
23,2,516,1.88518
23,3,305,4.65735
23,4,295,3.31900
23,5,277,3.45861
23,6,355,4.02425
23,7,210,0.65449
23,8,296,3.72971
23,9,216,3.69111
23,10,198,1.84643
23,11,345,3.52202
23,12,170,3.85149
23,13,226,4.03282
23,14,284,3.29361
23,15,205,2.65762
23,16,286,3.81457
23,17,157,2.90641
23,18,189,3.28926
23,19,146,4.29532
23,20,209,3.53977
23,21,167,3.60443
23,22,211,3.71400
23,23,132,4.17189
24,0,452,2.23997
24,1,154,1.00793
24,2,516,1.88518
24,3,305,4.65735
24,4,295,3.31900
24,5,277,3.45861
24,6,210,0.65449
24,7,296,3.72971
24,8,216,3.69111
24,9,198,1.84643
24,10,345,3.52202
24,11,170,3.85149
24,12,226,4.03282
24,13,284,3.29361
24,14,205,2.65762
24,15,286,3.81457
24,16,157,2.90641
24,17,189,3.28926
24,18,146,4.29532
24,19,209,3.53977
24,20,167,3.60443
24,21,211,3.71400
24,22,132,4.17189
24,23,192,3.42103
24,24,163,3.13832
25,0,452,2.23997
25,1,154,1.00793
25,2,516,1.88518
25,3,295,3.31900
25,4,277,3.45861
25,5,210,0.65449
25,6,296,3.72971
25,7,216,3.69111
25,8,198,1.84643
25,9,345,3.52202
25,10,170,3.85149
25,11,226,4.03282
25,12,284,3.29361
25,13,205,2.65762
25,14,286,3.81457
25,15,157,2.90641
25,16,189,3.28926
25,17,146,4.29532
25,18,209,3.53977
25,19,167,3.60443
25,20,211,3.71400
25,21,132,4.17189
25,22,192,3.42103
25,23,163,3.13832
25,24,90,4.29974
25,25,215,3.26389
26,0,452,2.23997
26,1,154,1.00793
26,2,516,1.88518
26,3,295,3.31900
26,4,277,3.45861
26,5,210,0.65449
26,6,296,3.72971
26,7,216,3.69111
26,8,198,1.84643
26,9,170,3.85149
26,10,226,4.03282
26,11,284,3.29361
26,12,205,2.65762
26,13,286,3.81457
26,14,157,2.90641
26,15,189,3.28926
26,16,146,4.29532
26,17,209,3.53977
26,18,167,3.60443
26,19,211,3.71400
26,20,132,4.17189
26,21,192,3.42103
26,22,163,3.13832
26,23,90,4.29974
26,24,215,3.26389
26,25,199,2.83538
26,26,146,3.05027
27,0,452,2.23997
27,1,154,1.00793
27,2,516,1.88518
27,3,295,3.31900
